1.000000000000000078e-15, 3.646384818393584581e-02
1.184618730902683615e-15, 3.647288106992061657e-02
1.403321537605484717e-15, 3.648222684218892231e-02
1.662400978926611930e-15, 3.649189639450771405e-02
1.969311337907421613e-15, 3.650190100383801650e-02
2.332883097864158299e-15, 3.651225234408607412e-02
2.763577014736160320e-15, 3.652296250036691366e-02
3.273785095948577224e-15, 3.653404398380049461e-02
3.878187145610723230e-15, 3.654550974686183312e-02
4.594173134636476025e-15, 3.655737319930718598e-02
5.442343548300266800e-15, 3.656964822469952608e-02
6.447102107323868852e-15, 3.658234919755753295e-02
7.637357916378027489e-15, 3.659549100115343928e-02
9.047357242349291730e-15, 3.660908904598601799e-02
1.071766885445503426e-14, 3.662315928895663181e-02
1.269635127659974077e-14, 3.663771825327694770e-02
1.504033553638024959e-14, 3.665278304913881235e-02
1.781706319545730845e-14, 3.666837139517777761e-02
2.110642679101555022e-14, 3.668450164076351300e-02
2.500306851906325026e-14, 3.670119278915152938e-02
2.961910329772554818e-14, 3.671846452153288559e-02
3.508734455902712968e-14, 3.673633722201957719e-02
4.156512558225991946e-14, 3.675483200360558922e-02
4.923882631706740969e-14, 3.677397073514530185e-02
5.832923594286206104e-14, 3.679377606939314427e-02
6.909790545715645178e-14, 3.681427147215016876e-02
8.185467307069029033e-14, 3.683548125256598527e-02
9.696657893145525094e-14, 3.685743059464628019e-02
1.148684256737554654e-13, 3.688014559001921017e-02
1.360752886424334547e-13, 3.690365327201615420e-02
1.611973357388158634e-13, 3.692798165112533976e-02
1.909573832878098545e-13, 3.695315975188002283e-02
2.262116930469026344e-13, 3.697921765124529553e-02
2.679746087325692012e-13, 3.700618651857201513e-02
3.174477409109193244e-13, 3.703409865718861743e-02
3.760545399658171687e-13, 3.706298754770651765e-02
4.454812518844988868e-13, 3.709288789311755707e-02
5.277254352483542987e-13, 3.712383566576717836e-02
6.251534353689717889e-13, 3.715586815629055156e-02
7.405684692262441571e-13, 3.718902402460425721e-02
8.772912801613365325e-13, 3.722334335305044206e-02
1.039255682936713244e-12, 3.725886770179612922e-02
1.231121748203890703e-12, 3.729564016659588088e-02
1.458409882943986503e-12, 3.733370543903145183e-02
1.727659664669038352e-12, 3.737310986934912205e-02
2.046617999391991628e-12, 3.741390153202137081e-02
2.424462017082330886e-12, 3.745613029416721557e-02
2.872063117797830867e-12, 3.749984788697265092e-02
3.402299765678071147e-12, 3.754510798026083895e-02
4.030428030568054307e-12, 3.759196626037035471e-02
4.774520538566130840e-12, 3.764048051150854085e-02
5.655986461065008035e-12, 3.769071070075707269e-02
6.700187503509590135e-12, 3.774271906691655659e-02
7.937167617217558082e-12, 3.779657021338881512e-02
9.402517429670141714e-12, 3.785233120530600431e-02
1.113839826482620524e-11, 3.791007167112932230e-02
1.319475521676708700e-11, 3.796986390895230878e-02
1.563075417945817251e-11, 3.803178299775853560e-02
1.851648417912158075e-11, 3.809590691389829614e-02
2.193497398905060142e-11, 3.816231665306465265e-02
2.598458104929252484e-11, 3.823109635806708900e-02
3.078182142565080031e-11, 3.830233345271843309e-02
3.646472223212752839e-11, 3.837611878217100231e-02
4.319679297334173335e-11, 3.845254676005826350e-02
5.117173007114610145e-11, 3.853171552282080164e-02
6.061898993497584093e-11, 3.861372709161940003e-02
7.181039092537356965e-11, 3.869868754226298696e-02
8.506793416364170249e-11, 3.878670718360719555e-02
1.007730682094461815e-10, 3.887790074490767717e-02
1.193776641714438331e-10, 3.897238757264399889e-02
1.414170170289023803e-10, 3.907029183736315803e-02
1.675252472408217365e-10, 3.917174275112764170e-02
1.984535457805803279e-10, 3.927687479619087346e-02
2.350917875457289358e-10, 3.938582796556447385e-02
2.784941350080649610e-10, 3.949874801618535880e-02
3.299093687770942561e-10, 3.961578673543779405e-02
3.908168177536272135e-10, 3.973710222183653856e-02
4.629689226627267571e-10, 3.986285918073072948e-02
5.484416576121026303e-10, 3.999322923594724605e-02
6.496942604146125056e-10, 4.012839125835386545e-02
7.696399902471166909e-10, 4.026853171239033746e-02
9.117299484984940992e-10, 4.041384502168717668e-02
1.080052374516253962e-09, 4.056453395496938813e-02
1.279450273207876028e-09, 4.072081003352579637e-02
1.515660758900604371e-09, 4.088289396161397943e-02
1.795480124687833954e-09, 4.105101608126671825e-02
2.126959386668692041e-09, 4.122541685307001824e-02
2.519635929317018539e-09, 4.140634736459354592e-02
2.984807916924333199e-09, 4.159406986827442892e-02
3.535859366535183310e-09, 4.178885835068475718e-02
4.188645235435279785e-09, 4.199099913525147776e-02
4.961947603002907857e-09, 4.220079152064808159e-02
5.878016072274924118e-09, 4.241854845723826151e-02
6.963207939763889889e-09, 4.264459726412647006e-02
8.248746552614598195e-09, 4.287928038955743371e-02
9.771619672696180100e-09, 4.312295621761002423e-02
1.157564369553305873e-08, 4.337599992434908180e-02
1.371272434398403692e-08, 4.363880438683506724e-02
1.624435010958868809e-08, 4.391178114864637688e-02
1.924336141115983946e-08, 4.419536144584449572e-02
2.279604637318981838e-08, 4.448999729761010657e-02
2.700462352420687487e-08, 4.479616266609966896e-02
3.199018284775067106e-08, 4.511435469042007068e-02
3.789616980644723283e-08, 4.544509499999564023e-02
4.489251258218608039e-08, 4.578893111300857272e-02
5.318051128214207347e-08, 4.614643792603513595e-02
6.299862978380705770e-08, 4.651821930147700956e-02
7.462935686310144724e-08, 4.690490975990460609e-02
8.840733401525080114e-08, 4.730717628498894850e-02
1.047289838236361656e-07, 4.772572024930631096e-02
1.240639159058834211e-07, 4.816127946995805292e-02
1.469684386112447532e-07, 4.861463040366224148e-02
1.741015652304022424e-07, 4.908659049174794731e-02
2.062439752514096944e-07, 4.957802066632467641e-02
2.443204762186492067e-07, 5.008982802981173238e-02
2.894266124716751244e-07, 5.062296872100355283e-02
3.428601863556597385e-07, 5.117845098192468078e-02
4.061585988376987783e-07, 5.175733844089764474e-02
4.811430839003263999e-07, 5.236075362852037757e-02
5.699711094326075332e-07, 5.298988174463212242e-02
6.751984523072522091e-07, 5.364597469585342948e-02
7.998527336796724915e-07, 5.433035542492176823e-02
9.475205302806548054e-07, 5.504442255482917129e-02
1.122450568085310503e-06, 5.578965537270678260e-02
1.329675967466215312e-06, 5.656761918051789878e-02
1.575159057091624399e-06, 5.737997104192271713e-02
1.865962923181745824e-06, 5.822846595718928625e-02
2.210454629971028308e-06, 5.911496350076202166e-02
2.618545958474237714e-06, 6.004143495908356026e-02
3.101978590138099995e-06, 6.100997100952215701e-02
3.674661940736702830e-06, 6.202278998480952737e-02
