1.000000000000000078e-15, 1.094206420066880098e-01
1.240639159058831879e-15, 1.094553019778005953e-01
1.539185522990205353e-15, 1.094914971798635478e-01
1.909573832878096778e-15, 1.095292959729876614e-01
2.369092074182632055e-15, 1.095687697934102228e-01
2.939188398646887234e-15, 1.096099932948015471e-01
3.646472223212748708e-15, 1.096530444963183526e-01
4.523956232538053606e-15, 1.096980049377492411e-01
5.612597255954971573e-15, 1.097449598421157413e-01
6.963207939763883060e-15, 1.097939982861138586e-01
8.638828442740443901e-15, 1.098452133788027640e-01
1.071766885445502795e-14, 1.098987024489714581e-01
1.329675967466211943e-14, 1.099545672416381570e-01
1.649648074098019918e-14, 1.100129141241649594e-01
2.046617999391989874e-14, 1.100738543024980948e-01
2.539114433680347118e-14, 1.101375040480756240e-01
3.150124795755327614e-14, 1.102039849359751217e-01
3.908168177536263948e-14, 1.102734240949107408e-01
4.848626481239077771e-14, 1.103459544697244499e-01
6.015395880274834878e-14, 1.104217150970576017e-01
7.462935686310133293e-14, 1.105008513949294752e-01
9.258810253973949034e-14, 1.105835154669978504e-01
1.148684256737553644e-13, 1.106698664223224465e-01
1.425102670302997806e-13, 1.107600707115068139e-01
1.768038178457206887e-13, 1.108543024801487420e-01
2.193497398905057941e-13, 1.109527439405913890e-01
2.721338768375305752e-13, 1.110555857630297349e-01
3.376199441111336532e-13, 1.111630274870982205e-01
4.188645235435270764e-13, 1.112752779551401811e-01
5.196597302486196897e-13, 1.113925557684386919e-01
6.447102107323869325e-13, 1.115150897677764930e-01
7.998527336796708188e-13, 1.116431195397850351e-01
9.923286228832545942e-13, 1.117768959506431625e-01
1.231121748203889693e-12, 1.119166817087941940e-01
1.527377850390712453e-12, 1.120627519584668635e-01
1.894924771873819607e-12, 1.122153949059110506e-01
2.350917875457284495e-12, 1.123749124803962440e-01
2.916640776023703482e-12, 1.125416210321653898e-01
3.618498759642746582e-12, 1.127158520696976973e-01
4.489251258218602817e-12, 1.128979530388040109e-01
5.569540905800129699e-12, 1.130882881462637463e-01
6.909790545715637908e-12, 1.132872392309145632e-01
